Class,Charges,Spell Name,Spell Description
Chaos,10,Mutilate,Target takes damage equal to 50% of the caster's Current Health.
Chaos,3,Nine Meteors,A random enemy takes a small amount of damage. This effect occurs 9 times.
Chaos,1,Orbital Strike,Target takes a devastating amount of damage and loses a small amount of Defense.
Chaos,12,Pandemonium,Shuffles the Timeline.
Chaos,6,Panic Attack,Each of your creatures Attack a random enemy for 50% normal damage.
Chaos,6,Planets,Enemies take a large amount of damage.
Chaos,19,Productive Belch,Target takes a small amount of damage and afflicts the target with Disarmed.
Chaos,2,Promethean Blaze,Enemies take a moderate amount of damage and are afflicted with Burning. Caster gains Intelligence equal to 10% of the damage dealt.
Chaos,10,Pumpkin King's Wrath,Enemies take a moderate amount of damage 2 times.
Chaos,12,Pyroburst,"Target takes a small amount of damage, or a massive amount of damage if they are afflicted with Bomb."
Chaos,4,Radiant Sunfire,Your creatures gain a random buff and enemies are afflicted with a random debuff for each enemy with Burning.
Chaos,11,Ravage,Target takes a moderate amount of damage and loses a moderate amount of Defense.
Chaos,12,Raze,Enemies take damage equal to 2 turns of their Burning debuff.
Chaos,15,Redirection,"Target gains a moderate amount of Defense, then it Provokes."
Chaos,12,Rend,Target takes a moderate amount of damage and is afflicted with Bleeding.
Chaos,6,Rolling Meteor,"Random enemies continuously take damage equal to 20% of this creature's Current Health. After each enemy takes damage, the spell has a 25% chance to end."
Chaos,20,Rune of Cor,"Target takes a large amount of damage, and the caster's on-attack effects are activated. 100% of this spell's damage is based on the caster's Attack instead of its Intelligence."
Chaos,14,Rupture,"Target takes a small amount of damage. This damage is increased by the percentage of Attack, Intelligence, Defense and Speed the caster has over those of the target."
Chaos,20,Sabotage,"Target Attacks the caster 3 times for 5% normal damage. These attacks cannot be dodged, and always deal at least 1 damage."
Chaos,3,Savage Roar,Your creatures gain a massive amount of Attack.
Chaos,10,Scourge Sorcery,"Target takes a small amount of damage, or massive damage if the target is a Sorcery creature."
Chaos,12,Shield Bash,Target takes a small amount of damage and is afflicted with Confused. 100% of the damage dealt is based on the caster's Defense instead of Intelligence.
Chaos,13,Shield Slam,"Target takes a moderate amount of damage and has a 35% chance to be sent to the bottom of the Timeline.
100% of the damage is based on the caster's Defense instead of Intelligence."
Chaos,1,Shootout,Target takes a massive amount of damage. This spell has a 100% chance to deal critical damage and regenerates 1 Charge after an enemy is killed. This spell is an Ultimate spell.
Chaos,7,Short Fuse,Enemies take damage equal to 100% of the potency of their Bomb debuffs.
Chaos,15,Skewer,Enemies take damage equal to 30% of the amount of damage they've taken from Bleeding in the current battle.
Chaos,8,Smoke Bolt,"Target takes a moderate amount of damage and loses a small amount of Attack, Intelligence and Defense."
Chaos,11,Sneak Attack,Target takes a massive amount of damage the first time this spell is Cast in the current battle. Subsequent casts deal a small amount of damage.
Chaos,9,Soul Fire,"Enemies take a moderate amount of damage, plus 10% more damage for each buff they have."
Chaos,13,Spicy Suds,"Your creatures with Splashing Attack random enemeis. Otherwise, they gain Splashing. This spell is a Booze Spell."
Chaos,8,Split Punch,Target takes a large amount of damage and is afflicted with Bleeding.
Chaos,1,Sunder,Enemies take a large amount of damage and their Defense and Speed are set to their minimum values. This spell is an Ultimate spell.
Chaos,1,Total Carnage,Enemies are afflicted with Bleeding and this creature Attacks each enemy. This is an Ultimate Spell.
Chaos,13,Toxic Shield,"Target gains 20% Defense for each debuff it has. Then, the target's debuffs are removed."
Chaos,9,Unbound Combustion,Target takes a small amount of damage. 100% of the damage is based on the caster's Maximum Health instead of Intelligence.
Chaos,15,Villify,Enemies are no longer Defending or Provoking.
Chaos,7,Volatile Strike,Target takes a moderate amount of damage. This damage is mitigated by the target's lowest stat. 100% of the damage dealt is based on the caster's highest stat instead of Intelligence.
Chaos,4,Volcano,Enemies take a large amount of damage and are afflicted with Burning.
Chaos,10,Warning,Your Provoking creatures gain a massive amount of Defense.
Chaos,20,Warp Reality,"Target's Barrier shatters, dealing damage to the target equal to 200% of the Barrier's strength."
Chaos,16,Whiplash,Target takes a small amount of damage and is afflicted with Bleeding. 100% of the damage dealt is based on the caster's Speed instead of Intelligence.
Chaos,10,Word of Chaos,Target has a 5% chance to be killed for each debuff it has.
Death,15,Absolute Corruption,Target's buffs are converted to random debuffs.
Death,10,Aggravate,Enemies with Cursed Attack the caster for 25% normal damage.
Death,7,Annihilate,"Enemies take a small amount of damage, or a massive amount of damage if they are afflicted with a debuff."
Death,1,Balance In All Things,"Your creatures are healed or resurrected with a devastating amount of Health, and enemies take a devastating amount of damage. This is an Ultimate Spell."
Death,5,Blood Burst,"Target takes a moderate amount of damage, plus 2% more damage for every 1% Health it has."
Death,13,Blood Moon,Target takes damage equal to 30% of the amount of damage it has taken in the current battle.
Death,17,Blood Shield,Target takes a large amount of damage and gains 200% of the damage taken as a Barrier.
Death,10,Blood Spray,"Enemies take a moderate amount of damage, plus 100% more damage for each time they've taken damage from Bleeding in the current battle."
Death,1,Bloodwave,Enemies take damage equal to 50% of the Maximum Health the caster gained in the current battle. This spell is an Ultimate spell.
Death,9,Bone Armor,Target gains a large amount of Defense and Speed.
Death,10,Bone Offering,"Target loses a large amount of Defense, and your creatures gain 20% of that amount."
Death,13,Bone Spear,"Target takes a moderate amount of damage.
If the amount of damage exceeds 25% of the target's Maximum Health, all other enemies take a moderate amount of damage as well."
Death,18,Cannibalize,"Target takes a small amount of damage, or a devastating amount of damage if the target's class is the same as that of the caster."
Death,12,Clawing Shadows,Target takes a moderate amount of damage. The damage is based on the caster's highest stat instead of Intelligence.
Death,7,Clogged Pores,"Target is afflicted with Poisoned, Burning, and Bleeding."
Death,1,Colorwave,"Enemies are afflicted with 3 random debuffs, plus 1 random debuff for each Death Infusion you have."
Death,1,Comet,"Enemies take a moderate amount of damage, multiplied by the number of turns the caster has taken in the current battle. This spell is an Ultimate spell."
Death,13,Contagion,Enemies' minions are removed. Enemies are afflicted with a random debuff for each minion removed.
Death,12,Corpse Explosion,Enemies take a small amount of damage for each dead creature on the battlefield.
Death,15,Corpse Shield,Your creatures gain a Barrier that absorbs a large amount of damage for each of your dead creatures.
Death,17,Corruption,Target is afflicted with Blighted and Cursed.
Death,8,Crucifixion,"Target takes a large amount of damage, plus 35% more damage for each minion the caster has."
Death,5,Curse of Doom,Enemies with Cursed gain a large amount of Attack and Intelligence and lose a large amount of Defense and Speed.
Death,9,Curse of Jimly,Enemies are afflicted with a random debuff for every 3 stacks of Zombies the caster has.
Death,12,Damnation,Enemies are afflicted with Cursed.
Death,12,Dark Enchantment,Target gains Arcane.
Death,12,Dark Ritual,"Target creature is killed, and the caster gains all its buffs and 100% of its Attack and Speed."
Death,1,Dark Strike,"Target takes a devastating amount of damage, and is afflicted with all debuffs. This spell is an Ultimate Spell."
Death,13,Dark Summoning,Your creatures Cast one of their spells that interact with minions.
Death,6,Dark Thoughts,Your creatures gain a massive amount of Intelligence and are afflicted with Scorned.
Death,13,Dark Transformation,"Target gains a moderate amount of Attack, Intelligence, Defense, and Speed for each minion it has."
Death,5,Dark Whispers,Your creatures gain Arcane.
Death,10,Death Blossom,Enemies take small amount of damage three times.
Death,9,Death Grip,Target takes a large amount of damage and is sent to the bottom of the Timeline.
Death,3,Death Orb,Enemies are afflicted with a random debuff and lose a moderate amount of stats.
Death,15,Death Siphon,"Target creature is killed, and the caster gains 50% of its Attack, Intelligence, Defense, Speed, and Maximum Health."
Death,18,Death's Call,"Target is afflicted with Feared, and all its buffs are removed."
Death,20,Debilitate,Target loses access to the extra traits it gained during battle.
Death,8,Decay,Enemies are afflicted with Disarmed.
Death,12,Defile,Enemies are afflicted with Poisoned and Blighted.
Death,15,Defy Light,Enemies' classes are changed to Death.
Death,12,Depression,Target is afflicted with a random debuff for each time it has been healed in the current battle.
Death,13,Desecrate,"Target takes a moderate amount of damage, plus 100% more damage for each enemy of the same race fighting on the target's side."
Death,1,Desperate Sacrifice,"Your creatures are resurrected with 100% Health. Then, this creature is killed."
Death,4,Devour,"Caster steals a large amount of Attack, Intelligence, Defense, and Speed from the target."
Death,12,Direct Orders,"Target takes a moderate amount of damage, plus 20% for each minion the caster has."
Death,9,Dreadblade,Target takes a large amount of damage and is afflicted with Feared.
Death,3,Dying Wish,Target is sent to the top of the Timeline. The caster is killed.
Death,11,Enfeeble,Target loses a large amount of Attack.
Death,7,Engorge,Target gains a massive amount of Maximum Health and loses a massive amount of Defense and Speed.
Death,6,Epidemic,Afflicts all enemies with a copy of all the target's debuffs.
Death,12,Evil Eye,"Target takes a small amount of damage, or a massive amount of damage if they are affliected with Cursed."
Death,10,Feign Death,Caster's on-death effects are activated.
Death,11,Fermented Hops,"Enemies with Blighted are healed for an amount equal to 35% of their Maximum Health. Otherwise, they are afflicted with Blighted. This spell is a Booze Spell."
Death,5,Finger of Death,Target takes a massive amount of damage.
Death,10,Flesh Offering,"Target loses a large amount of Maximum Health, and your creatures gain 20% of that amount."
Death,16,Flood of Darkness,Enemies with Cursed Attack their allies at random.
Death,1,Ghostly Scimitar,Target takes a devastating amount of damage which also ignores 80% of the target's Defense. This spell is an Ultimate spell.
Death,9,Ghoul's Grip,Target takes a large amount of damage and is afflicted with Snared.
Death,12,Gore Claws,"Target takes a moderate amount of damage, plus 5% more damage for every 1% Health the target is missing."
Death,15,Graft Bone,Target creature takes a moderate amount of damage and gains Defense equal to 200% of the damage taken.
Death,5,Graveyard Shift,Your creatures gain 1 stack of Zombies.
Death,10,Ha Ho Ha,"Target is afflicted with Feared. If the target is already afflicted with Feared, it takes a massive amount of damage instead."
Death,10,Halfway Through,Target's Health is set to 50%.
Death,8,Harbinger's Curse,Target takes a moderate amount of damage and is afflicted with Weak and Vulnerable.
Death,7,Haunt,"Target takes a small amount of damage and is afflicted with Feared. If the target is already afflicted with Feared, it is sent to the bottom of the Timeline."
Death,10,Ill Fate,Enemies with Blighted recover a moderate amount of Health.
Death,20,Impending Doom,Target has a 5% chance to be killed for each turn it has taken in the current battle.
Death,5,Indiscriminate Summoning,Your creatures gain a random minion.
Death,1,Infinite Blades,Enemies take a moderate amount of damage 5 times. This spell is an Ultimate Spell.
Death,10,Intimidate,Target loses a large amount of Attack and Defense.
Death,3,Land of the Dead,Your creatures gain Rebirth and then they are killed.
Death,10,Living Death Lance,"Target takes a small amount of damage, or massive damage if the target is a Death creature. The damage ia based on the caster's Attack instead of Intelligence. This spell is an Arsenal Spell."
Death,7,Living Death Shield,"Caster's class is changed to Death, it gains Leeching, and it gains a moderate amount of Defense. The potency is based on the caster's Defense instead of Intelligence. This spell is an Arsenal Spell."
Death,4,Living Heavy Shield,Caster gains a massive amount of Defense and Shelled. This spell is an Arsenal Spell.
Death,7,Living Helmet,Caster gains a massive amount of Maximum Health and Protected. This spell is an Arsenal Spell.
Death,2,Living Mace,Target takes a devastating amount of damage. This spell is an Arsenal Spell.
Death,5,Loveless,"Enemies take damage equal to the amount of Intelligence the caster has gained in the current battle. Then, its Intelligence is set to its minimum value."
Death,20,Memento of Defense,This spell doesn't do anything when Cast. The caster has 5% more Defense for each Charge this Spell Gem is missing.
Death,5,Misery,"Target is afflicted with Weak, Vulnerable, Feared, Cursed, and Scorned."
Death,5,Morph: Death,Your creatures gain a large amount of Defense and their classes become Death until the end of battle.
Death,5,Mouthbreathe,Caster loses a large amount of Intelligence and enemies take damage equal to 200% of this amount.
Death,12,Murder of Crows,"Random enemies take a moderate amount of damage 3 times, plus 2 more times for each dead creature on the battlefield."
Death,10,Necromantic Armor,Your creatures gain a moderate amount of Defense and Speed.
Death,10,Necrosis,Enemies take a moderate amount of damage. 50% of the damage is based on the caster's Speed instead of Intelligence.
Death,12,Night Sword,"Target takes a moderate amount of damage and the last Spell Gem the target used is Sealed. If no Spell Gem was used, one is chosen at random."
Death,13,Nightmare,Target takes a moderate amount of damage and is afflicted with Sleeping.
Death,10,Parasites,Enemies are afflicted with Blighted and Leeching.
Death,7,Pestilence,Enemies spread 1 of their debuffs to all other enemies.
Death,11,Phantasm,"Target takes damage equal to 10% of the Attack, Intelligence, Defense and Speed it lost in the current battle."
Death,11,Plague,Target recovers a small amount of Health. This effect repeats for each enemy with Blighted.
Death,10,Poison Gas,Enemies are afflicted with Poisoned.
Death,20,Purgatory,Target is sent to the bottom of the Timeline.
Death,5,Pusplosion,"Enemies take a moderate amount of damage, plus 10% more damage for each debuff each enemy has."
Death,7,Pustule,Target takes a small amount of damage and all other enemies take damage equal to 200% of the damage dealt.
Death,10,Rain of Blood,Enemies are afflicted with Bleeding.
Death,1,Rapture,Enemies take a massive amount of damage and are afflicted with Weak and Vulnerable.
Death,10,Revelation,Caster's on-resurrect effects are activated.
Death,12,Riotous Rum,Enemies take a moderate amount of damage and are afflicted with Feared. This spell is a Booze Spell.
Death,10,Ritual of Summoning,"Caster is killed, and your creatures' minions gain 3 stacks."
Death,20,Rune of Dun,"Target takes a large amount of damage, and the caster's on-attack effects are activated. 100% of this spell's damage is based on the caster's Defense instead of its Intelligence."
Death,10,Scourge Chaos,"Target takes a small amount of damage, or massive damage if the target is a Chaos creature."
Death,8,Shadow Crash,Enemies take damage equal to 10% of the caster's Intelligence for each time they've cast a spell in the current battle.
Death,10,Shadow Infusion,Target gains a large amount of Attack and Speed.
Death,3,Slaughter,Caster kills its allies.
Death,5,Soul Harvest,Caster steals a small amount of Intelligence from all enemies.
Death,10,Soul Rage,Your creatures gain Leeching and Splashing.
Death,15,Soul Sacrifice,Your creatures' Health is set to 70%.
Death,10,Spirit Offering,"Target loses a large amount of Intelligence, and your creatures gain 20% of that amount."
Death,15,Spreading Plague,Target's debuffs are removed and given to enemies at random.
Death,7,Sudden Death,"Target is killed, and enemies take damage equal to 25% of its current Health."
Death,5,Summon Conquest,Caster gains Conquest.
Death,5,Summon Death,Caster gains Death.
Death,5,Summon Famine,Caster gains Famine.
Death,3,Summon Horde,Your creatures gain a random minion for each creature that belongs to the same class as the caster.
Death,10,Summon Unstable Horror,Caster gains 1 stack of Unstable Horror.
Death,5,Summon War,Caster gains War.
Death,10,Summon Writheling,Caster gains 1 stack of Writhelings.
Death,10,Summon Zombie,Caster gains 1 stack of Zombies.
Death,3,Supplicant Sacrifice,"Caster is killed, and your creatures gain 3 random minions."
Death,9,Terror,Target loses a large amount of Defense and is afflicted with Fear.
Death,9,Timely Demise,Enemies take a small amount of damage. The damage is increased based on the duration of the current battle.
Death,7,Ultimate Odor,Enemies take a small amount of damage. This damage repeats for each debuff the caster has.
Death,10,Unholy Augmentation,Your creatures gain Repelling.
Death,11,Unholy Confessions,Your creatures gain a moderate amount of Intelligence.
Death,13,Unholy Frenzy,Your creatures gain Berserk.
Death,13,Unholy Rage,"Target's Defense and Speed are added to their Attack and Intelligence. Then, their Defense and Speed are set to their minimum values."
Death,3,Unrighteous Fire,"Caster's Health is set to 1, and enemies take damage equal to 30% of the amount of Health removed."
Death,15,Unstable Summoning,Target gains a random minion.
Death,14,Vampirism,Your creatures gain Leeching.
Death,12,Virus,Enemies take damage equal to 2 turns of their Poisoned debuff.
Death,25,Vitality Explosion,Target takes damage equal to the amount of Maximum Health it has greater than its base amount.
Death,23,Vivacious Vodka,One of your creatures is moved to the top of the Timeline. This spell can only ever target 1 creature and can only be Cast once at a time. This spell is a Booze Spell.
Death,10,Wormrot,Enemies are afflicted with Weak and Vulnerable.
Death,8,Zombie Clap,Target takes a large amount of damage and the caster gains 3 stacks of Zombies.
Life,1,Afterlife,Your creatures' on-resurrect and on-death effects activate. This spell is an Ultimate spell.
Life,10,Ancient Prayer,Your creatures gain copies of all the target's buffs.
Life,11,Archangel's Blessing,Your creatures recover 30% Health and gain a random buff.
Life,20,Ascension,"Caster gains a random trait. This spell cannnot be cast manually, but has a 50% chance to cast when the Caster Defends or Provokes."
Life,5,Atonement,Enemies lose a large amount of Speed and Defense.
Life,4,Benediction,Your creatures recover a massive amount of Health.
Life,3,Blistering Radiance,Enemies take a large amount of damage and are afflicted with Scorned.
Life,5,Breath of Life,Target recovers a massive amount of Health even if it is dead.
Life,5,Charm of Life,"Your creatures gain a moderate amount of Attack, Speed, and Curent and Maximum Health."
Life,35,Chastise,Target takes a small amount of damage.
Life,20,Cloud Beam,"Random enemies take a small amount of damage continuously. After each enemy takes damage, the spell has a 20% chance to end."
Life,1,Colorwave,"Your creatures gain 5 random buffs, plus 1 random buff for each Life Infusion you have."
Life,15,Condemn Light,Enemies' classes are changed to Life.
Life,10,Consecration,Enemies take a small amount of damage and the caster recovers a large amount of Health.
Life,9,Convoke the Spirits,Target takes a large amount of damage. The spell's class is considered to be whatever class the target is weak against.
Life,15,Cosmic Ripple,"Target takes a moderate amount of damage if it is an enemy, or is healed for a moderate amount of Health if it is an ally."
Life,20,Covenant,Target gains Rebirth.
Life,13,Crackle,Target takes a moderate amount of damage and is afflicted with Confused.
Life,3,Dark Seraphim,"Target recovers Health equal to 100% of its missing Health and gains a massive amount of Attack, Intelligence and Speed."
Life,15,Dark Tranquility,"If the target has less than 85% Health, its Health is inverted."
Life,20,Desperate Bid,A random ally and a random enemy are resurrected with a random amount of Health.
Life,3,Determination,Your creatures gain a large amount of Defense and Maximum Health.
Life,15,Divine Aegis,Caster gains a Barrier that absorbs a moderate amount of damage.
Life,3,Divinity,"All creatures are resurrected, recover 100% Health, and their debuffs are removed. The Timeline is shuffled."
Life,6,Dream,Caster Casts one of its spells from each class.
Life,10,Enlightenment,"Target's Attack is added to its Intelligence. Then, its Attack is set to its minimum value."
Life,7,Epiphany,Your creatures' races are changed to match that of the caster for the rest of the battle.
Life,20,Equality,Target's stats are averaged.
Life,15,Evangelism,"Target gains Mending, Agile, and Warded."
Life,1,Fae Fire,"Enemies lose a devastating amount of all stats, and their buffs and minions are removed. This spell is an Ultimate Spell."
Life,10,Falling Feathers,"Random enemies take a moderate amount of damage continuously. After each enemy takes damage, the spell has a 25% chance to end."
