Family,Tiers,First Unlock Effect,Second Unlock Effect,Third Unlock Effect 
Stag,3 / 5 / 8,You gain 30% more Power from battles.,Increase the base amount of Power gained from battles by 15.,You have a 15% chance to gain double Power from battles.
Storm,3 / 5 / 8,Your creatures take 15% less damage from Nature spells.,Your creatures take 15% less damage from Nature spells.,Your creatures take 15% less damage from Nature spells.
Toxdweller,2 / 4 / 6,Enemies take 25% more damage from their Bomb debuffs.,Increases the amount of Speed added to the Bomb debuffs your creatures apply by 25%.,Enemies' Bomb debuffs cannot be removed.
Tremor,2 / 4 / 6,Enemies have 5% less Intelligence.,Enemies gain 25% less Intelligence.,Enemies have 50% less benefit from their Artifacts' Stat Slots that boost their Intelligence.
Troll,3 / 5 / 8,Your creatures have 10% more Speed while they're Provoking.,Your creatures have 10% more Speed while they're Provoking.,Your creatures have 10% more Speed while they're Provoking.
Unguided,2 / 4 / 6,Your creatures have 1 more base Health.,Your creatures have 1 more base Health.,Your creatures have 1 more base Health.
Unicorn,2 / 5 / 7,Your creatures take 15% less damage from attacks from Life creatures.,Your creatures take 15% less damage from attacks from Life creatures.,Your creatures take 15% less damage from attacks from Life creatures.
Uralos,2 / 4 / 6,Your creatures' Relics modify stats 5% more.,Your creatures' Relics modify stats 5% more.,Your creatures' Relics modify stats 5% more.
Valkyrie,2 / 5 / 7,Enemies have a 10% lower chance to deal critical damage. ,Enemies deal 30% less critical damage.,Enemies have a 75% maximum chance to deal critical damage.
Voidlord,2 / 4 / 6,Your Repelling creatures take 5% less damage from spells.,Your Repelling creatures take 5% less damage from attacks.,Your creatures' Repelling buff now lasts forever.
Vortex,3 / 6 / 9,Your creatures take 15% less damage from Sorcery spells.,Your creatures take 15% less damage from Sorcery spells.,Your creatures take 15% less damage from Sorcery spells.
Vulpes,2 / 5 / 7,Enemies' Spell Gems have 10% fewer Charges.,Enemies' Spell Gems have 10% fewer Charges.,Enemies' Spell Gems have 10% fewer Charges.
Warhog,2 / 4 / 6,Your creatures have a 3% chance to avoid damage from attacks.,Your creatures have a 3% chance to avoid damage from spells.,Your creatures have a 3% chance to avoid indirect damage.
Waspid,2 / 5 / 7,Enemies have 5% less Speed.,Enemies gain 25% less speed.,Enemies have 50% less benefit from their Artifacts' Stat Slots that boost their Speed.
Watcher,3 / 5 / 8,Your creatures take 15% less damage from attacks from Sorcery creatures.,Your creatures take 15% less damage from attacks from Sorcery creatures.,Your creatures take 15% less damage from attacks from Sorcery creatures.
Wight,3 / 5 / 8,You gain 30% more Granite from battles.,Increases the base amount of Granite gained from battles by 15.,You have a 15% chance to gain double Granite from battles.
Wisp,2 / 4 / 6,Your creatures have a 5% chance to resist effects that cause them to fall to the bottom of the Timeline.,Your creatures have a 5% chance to resist effects that cause them to fall to the bottom of the Timeline.,Your creatures have a 5% chance to resist effects that cause them to fall to the bottom of the Timeline.
Wolpertinger,3 / 5 / 8,Your creatures have a 5% chance to Attack an additional time.,Your creatures have a 5% chance to Cast spells an additional time.,Doubles the chance for these effects to occur.
Wyvern,2 / 4 / 6,Your creatures take 5% less damage from spells.,Your creatures take 5% less damage from spells.,Your creatures take 5% less damage from spells.
Yeti,2 / 5 / 7,Frozen enemies have a 5% lower base chance to thaw.,Decreases Frzoen enemies' chance to thaw each turn by 10%.,Enemies' Frozen debuffs have a 50% chance to not gain an increased chance to thaw at the end of their turn.
