[2026-01-20 22:00:51.520] [combined] [warning] This is a warning message.
[2026-01-20 22:00:51.520] [combined] [error] This is an error message.
[2026-01-20 22:00:52.931] [combined] [error] [localization.cpp:45] Failed to open font JSON file: localization/fonts.json
[2026-01-20 22:00:52.931] [combined] [error] [localization.cpp:45] Failed to open font JSON file: localization/fonts.json
[2026-01-20 22:00:53.372] [combined] [warning] [general] [dsl.strict.text] Validation failed at /Users/joshuashin/conductor/workspaces/TheGameJamTemplate/kyoto/assets/scripts/ui/player_inventory.lua:689:
  WARNING: unknown field 'padding' 
[2026-01-20 22:00:53.372] [combined] [warning] [general] [dsl.strict.button] Validation failed at /Users/joshuashin/conductor/workspaces/TheGameJamTemplate/kyoto/assets/scripts/ui/player_inventory.lua:747:
  WARNING: unknown field 'padding' 
[2026-01-20 22:00:53.372] [combined] [warning] [general] [dsl.strict.button] Validation failed at /Users/joshuashin/conductor/workspaces/TheGameJamTemplate/kyoto/assets/scripts/ui/player_inventory.lua:747:
  WARNING: unknown field 'padding' 
[2026-01-20 22:00:53.372] [combined] [warning] [general] [dsl.strict.button] Validation failed at /Users/joshuashin/conductor/workspaces/TheGameJamTemplate/kyoto/assets/scripts/ui/player_inventory.lua:747:
  WARNING: unknown field 'padding' 
[2026-01-20 22:00:53.372] [combined] [warning] [general] [dsl.strict.button] Validation failed at /Users/joshuashin/conductor/workspaces/TheGameJamTemplate/kyoto/assets/scripts/ui/player_inventory.lua:747:
  WARNING: unknown field 'padding' 
[2026-01-20 22:00:53.372] [combined] [warning] [general] [dsl.strict.button] Validation failed at /Users/joshuashin/conductor/workspaces/TheGameJamTemplate/kyoto/assets/scripts/ui/player_inventory.lua:747:
  WARNING: unknown field 'padding' 
[2026-01-20 22:00:53.373] [combined] [warning] [general] [dsl.strict.button] Validation failed at /Users/joshuashin/conductor/workspaces/TheGameJamTemplate/kyoto/assets/scripts/ui/player_inventory.lua:781:
  WARNING: unknown field 'padding' 
[2026-01-20 22:00:53.373] [combined] [warning] [general] [dsl.strict.button] Validation failed at /Users/joshuashin/conductor/workspaces/TheGameJamTemplate/kyoto/assets/scripts/ui/player_inventory.lua:793:
  WARNING: unknown field 'padding' 
[2026-01-20 22:00:53.373] [combined] [warning] [general] [dsl.strict.spritePanel] Validation failed at /Users/joshuashin/conductor/workspaces/TheGameJamTemplate/kyoto/assets/scripts/ui/player_inventory.lua:1119:
  WARNING: unknown field 'config' 
[2026-01-20 22:00:55.323] [combined] [warning] [box.cpp:1881] GetGroup called with invalid entity
[2026-01-20 22:01:02.945] [combined] [warning] [box.cpp:1881] GetGroup called with invalid entity
[2026-01-20 22:01:05.557] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:05.665] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:05.665] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:05.665] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:05.665] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:05.665] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:05.749] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:05.749] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:05.749] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:05.749] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:05.749] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:05.872] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:05.872] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:05.872] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:05.872] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:05.872] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:05.958] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:05.958] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:05.958] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:05.958] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:05.958] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:06.060] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:06.060] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:06.060] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:06.060] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:06.060] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:06.164] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:06.164] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:06.164] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:06.164] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:06.164] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:06.249] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:06.249] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:06.249] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:06.249] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:06.249] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:06.354] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:06.354] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:06.354] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:06.354] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:06.354] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:06.461] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:06.461] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:06.461] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:06.461] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:06.461] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:06.568] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:06.568] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:06.568] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:06.568] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:06.568] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:06.653] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:06.653] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:06.653] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:06.653] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:06.653] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:06.759] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:06.760] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:06.760] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:06.760] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:06.760] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:06.863] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:06.863] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:06.863] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:06.863] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:06.863] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:06.948] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:06.948] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:06.948] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:06.948] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:06.948] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:07.061] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:07.061] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:07.061] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:07.061] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:07.061] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:07.164] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:07.164] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:07.164] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:07.164] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:07.164] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:07.248] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:07.248] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:07.248] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:07.248] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:07.248] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:07.351] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:07.351] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:07.351] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:07.351] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:07.351] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:07.454] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:07.454] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:07.454] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:07.454] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:07.454] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:07.556] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:07.556] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:07.556] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:07.556] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:07.556] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:07.664] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:07.664] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:07.664] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:07.664] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:07.664] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:07.768] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:07.768] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:07.768] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:07.768] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:07.768] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:07.852] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:07.852] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:07.853] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:07.853] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:07.853] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:07.956] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:07.957] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:07.957] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:07.957] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:07.957] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:08.061] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:08.061] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:08.061] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:08.061] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:08.061] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:08.166] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:08.166] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:08.166] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:08.166] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:08.166] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
